ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1767938755.559654,CQxpPq2udJBEEoC4rj,192.168.1.1,42011,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938756.792500,CcABSH5YCGvCWNY74,192.168.1.1,42271,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4200,0,0,,17
1767938757.710020,CEpoCSWoSY2FHmxaj,192.168.1.1,52999,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938758.942901,Ch9fk5D8qpDj7pdP9,192.168.1.1,41411,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4200,0,0,,17
1767938759.963006,CzD02T2VWrD8HurJoh,192.168.1.1,44797,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938761.093388,Cjmi5lWlrNYIALH75,192.168.1.1,50273,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4201,0,0,,17
1767938762.113512,Chfm94fwTZP7rayab,192.168.1.1,55154,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938763.346274,C2GRM91Kig1Rsrn1Z3,192.168.1.1,49986,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4197,0,0,,17
1767938764.263918,CbF6RX27yOTUsTNzcc,192.168.1.1,54018,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938765.496539,CsGuyA1R8QCcn72tUi,192.168.1.1,34195,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4197,0,0,,17
1767938766.516474,CQkemS34xRK4RZd9M,192.168.1.1,56172,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938767.646946,CwBRoU2rvYvk9KgDJg,192.168.1.1,38015,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4200,0,0,,17
